Pid      Process              Base       InLoad InInit InMem MappedPath
     788 svchost.exe          0x76470000 True   True   True  \Windows\System32\kernel32.dll
     788 svchost.exe          0x76f20000 True   True   True  \Windows\System32\ntdll.dll
     788 svchost.exe          0x74890000 True   True   True  \Windows\System32\rsaenh.dll
     788 svchost.exe          0x74aa0000 True   True   True  \Windows\System32\wship6.dll
     788 svchost.exe          0x770c0000 True   True   True  \Windows\System32\oleaut32.dll
     788 svchost.exe          0x768f0000 True   True   True  \Windows\System32\advapi32.dll
     788 svchost.exe          0x76da0000 True   True   True  \Windows\System32\imm32.dll
     852 svchost.exe          0x743b0000 True   True   True  \Windows\System32\wevtsvc.dll
     852 svchost.exe          0x00510000 True   False  True  \Windows\System32\svchost.exe
     852 svchost.exe          0x76340000 True   True   True  \Windows\System32\sechost.dll
     852 svchost.exe          0x70e90000 True   True   True  \Windows\System32\wbem\fastprox.dll
     852 svchost.exe          0x73760000 True   True   True  \Windows\System32\wkscli.dll
     852 svchost.exe          0x74970000 True   True   True  \Windows\System32\dnsapi.dll
     852 svchost.exe          0x73e00000 True   True   True  \Windows\System32\propsys.dll
     852 svchost.exe          0x727a0000 False  False  False \Windows\System32\tquery.dll
     852 svchost.exe          0x76630000 True   True   True  \Windows\System32\ws2_32.dll
     852 svchost.exe          0x739b0000 True   True   True  \Windows\System32\avrt.dll
     852 svchost.exe          0x74fc0000 True   True   True  \Windows\System32\cryptbase.dll
     852 svchost.exe          0x76a30000 True   True   True  \Windows\System32\usp10.dll
     852 svchost.exe          0x009d0000 False  False  False \Windows\System32\winlogon.exe
     852 svchost.exe          0x72fe0000 True   True   True  \Windows\System32\dhcpcsvc6.dll
